"","MCC_score"
"TPSAB1",-5.93116064966471
"CAMSAP2",-5.93229580596198
"RAPH1",-5.93242581944805
"CLMP",-5.93260186636044
"TSPAN31",-5.93308933500009
"TGM5",-5.93392241347913
"IGFL2",-5.93409782862354
"KIF16B",-5.93440237494854
"EVPL",-5.93449230456838
"HSPB8",-5.93454971125021
"MAPKAP1",-5.93471311496438
"BTC",-5.93775299259879
"SPINK5",-5.93840781634983
"INPP5A",-5.9399520265694
"PDGFRA",-5.94009555202449
"DAB2",-5.94072971002965
"CD59",-5.94153394624264
"SMAGP",-5.94246261157764
"CGNL1",-5.94272501274714
"RNF39",-5.94310914781076
"PDZK1IP1",-5.94393100868347
"P3H2",-5.94418224879087
"MYOF",-5.94479775734868
"GPR157",-5.94621280047507
"LINC01279",-5.94645771356957
"TXNIP",-5.947057077345
"LRP10",-5.947588744086
"SOX9",-5.94781223068706
"SBSN",-5.94788669522995
"SGMS2",-5.94832103081065
"ME1",-5.94916513237885
"ZNF750",-5.94921683661894
"BAIAP2",-5.94995214301827
"CNGA1",-5.95024015508896
"PPP2R5A",-5.95140522399846
"CST6",-5.95160106917784
"POU2F3",-5.95179019863132
"PLXDC2",-5.95230994114064
"TMPRSS13",-5.95329440399374
"PSEN1",-5.95501339743042
"ADAM9",-5.95525371416245
"GAN",-5.95598142293322
"EDDM13",-5.95703598912266
"KLK8",-5.95727863476526
"EPHX2",-5.95992777202608
"ASAP3",-5.96018626452117
"ITGA2",-5.96095493540469
"IL1R2",-5.96137747558726
"IL18",-5.96164857537857
"CD55",-5.96208108366751
"OSR2",-5.96333248833749
"DNAJC3",-5.96371273296533
"LCE1B",-5.96386923041866
"LANCL1",-5.96447520555927
"PTGIS",-5.96450932774079
"GATM",-5.96794490965803
"LOC101927164",-5.96927009897918
"MAPK14",-5.96945605958994
"GREM2",-5.97009551294243
"PTGER3",-5.97067914002727
"KLC3",-5.97180750190469
"EPS8L1",-5.97258852325804
"STARD5",-5.97271727120155
"IFFO2",-5.97318231094829
"TCF7L2",-5.97327686060319
"CALML5",-5.97379622935016
"ADRB2",-5.97385285245906
"PMP22",-5.97436536557307
"WWTR1",-5.97496535367079
"RAB5A",-5.97802415498566
"PRSS3",-5.97811811945985
"RNF141",-5.97911549303986
"MRGPRF",-5.97920825385582
"KRT1",-5.97935699077355
"FABP7",-5.97979272162647
"WNT2B",-5.98121005184103
"YAP1",-5.98308047164757
"PPP1R13L",-5.98388407959856
"CAT",-5.98436031601486
"PLAC9",-5.9854439968688
"C19orf33",-5.98652924956339
"AOX1",-5.98662233010289
"VSNL1",-5.98748156785673
"PLCD1",-5.98778049846537
"FBLN5",-5.98810861015146
"ECM2",-5.98846496586359
"CTSV",-5.98870649767401
"KLK10",-5.98911329984506
"OVOL1",-5.98919821371267
"EPPK1",-5.98990272836851
"EDN1",-5.99065749392316
"KRT15",-5.99087469771291
"RNASE7",-5.99159071337328
"SP1",-5.99172074932967
"PSORS1C2",-5.99200149176217
"JDP2",-5.99235255690967
"BAG3",-5.99545509216235
"FAM83B",-5.99583127614033
"GRHL3",-5.99639488122654
"KRT80",-5.99722974780976
"IDE",-5.9975235666389
"ARG1",-5.99914067387924
"ATP2C2",-5.99962599609104
"IL1RAP",-6.00007964952505
"CCND1",-6.0001136779191
"ZDHHC5",-6.00103039141117
"SEMA3G",-6.00162957534039
"SNED1",-6.00336338132158
"EREG",-6.00381711063848
"CWH43",-6.00545832287283
"MEDAG",-6.00563063618027
"ACPP",-6.00567353139512
"IL17RD",-6.00596791665441
"HSPB2",-6.0062566133933
"LY6D",-6.00649095621891
"KIF1C",-6.00893149099833
"LPAR1",-6.00919130877096
"DDX42",-6.00924525395508
"RAB38",-6.00965917401855
"ASPRV1",-6.01076824222614
"BPIFC",-6.01140863871261
"LYNX1",-6.01201289016311
"NTN4",-6.01377454779995
"SCUBE2",-6.01455320737817
"TACSTD2",-6.01496015492891
"HS3ST6",-6.01588382075116
"CPQ",-6.0184082195503
"SLC9A9",-6.01849044335695
"ANKRD35",-6.02019462019686
"SLC25A43",-6.02030206360801
"SOWAHC",-6.02076907353253
"QSOX1",-6.02123293629584
"CLIC3",-6.02221040613157
"GXYLT2",-6.02369387981816
"BACE2",-6.02584226596709
"RARG",-6.02604613230856
"THBD",-6.02633204714166
"MITF",-6.02730761474014
"CPNE3",-6.02844481455842
"PROS1",-6.02961860017133
"ZFP36L1",-6.02966159414094
"HCAR3",-6.03008274474925
"CHMP4C",-6.03057342971967
"CAV2",-6.03225765557441
"AQP9",-6.03321554311235
"CLU",-6.03452406804733
"JAG1",-6.03515713356723
"PSD4",-6.03536773097071
"FLG",-6.03826052215328
"XG",-6.03965970705289
"TMOD3",-6.04030742111943
"WIF1",-6.04127396981896
"ITPRID2",-6.04146832487872
"AVPI1",-6.04500368515201
"UBE2H",-6.04613910126231
"INAVA",-6.04860354373146
"RALB",-6.04944009307615
"ABCA12",-6.04957324009795
"CILP",-6.04967383574745
"PLN",-6.05004942738574
"MLANA",-6.05088221846867
"CES1",-6.05091726751609
"EPHX3",-6.05093689843756
"HOPX",-6.05143942873195
"PTGES",-6.05365544153958
"METRNL",-6.05526245950924
"GJB5",-6.0556593031075
"MID2",-6.05719394427901
"CD46",-6.05842164608676
"PIK3R1",-6.06051633183757
"GSTM5",-6.06081299492617
"COPA",-6.06152735779017
"CCDC6",-6.06305931806839
"TPD52L1",-6.06326896377215
"ATP1A2",-6.06440845475505
"MAPK1",-6.06497482179367
"SLC46A2",-6.06502881721294
