"","degree","eigenvector","betweenness","closeness",""
"ARHGAP5","58","0.127209829533599","244.565103183468","0.000722021660649819","Module_4"
"SLC16A7","108","0.405340236015002","1490.61754956809","0.000767459708365311","Module_4"
"ITGAV","62","0.154431244168959","157.370371071476","0.000725163161711385","Module_4"
"ACSL4","88","0.247328197810395","5403.47307701574","0.00076219512195122","Module_4"
"SMAD5","115","0.463517220817369","339.92044041719","0.000728862973760933","Module_4"
"BMPR1A","101","0.366391058299712","1091.0578256225","0.000757575757575758","Module_4"
"MBNL1","123","0.50452322108951","1563.19899251716","0.000750750750750751","Module_4"
"EDEM1","68","0.139835062802181","1455.916164382","0.000750187546886722","Module_4"
"ZNF148","101","0.371778742864539","337.626662788497","0.000727272727272727","Module_4"
"ATP7A","62","0.0972294738015211","741.742338564537","0.000732064421669107","Module_4"
"MOB1B","104","0.390411115595799","189.756433034458","0.000712758374910905","Module_4"
"MDFIC","114","0.443967812024534","965.655353536357","0.000746268656716418","Module_4"
"MAN2A1","122","0.474142715989899","2773.88317604792","0.000750750750750751","Module_4"
"SP3","126","0.518956894021991","1323.70837271385","0.000757002271006813","Module_4"
"REST","81","0.248252867969752","479.532058679556","0.000735294117647059","Module_4"
"TNKS2","99","0.365249155989575","235.518332243547","0.000720461095100865","Module_4"
"MAN1A2","66","0.0866317459071249","3031.97623128758","0.000733137829912023","Module_4"
"MARCHF6","66","0.162138461794853","875.978351957272","0.000744601638123604","Module_4"
"THSD4","176","0.00334563807647473","853.511454544662","0.000698324022346369","Module_5"
"LMF1","180","0.0030400338501482","478.638325519523","0.00068259385665529","Module_5"
"IGFBP5","176","0.00333024775071307","848.318526530038","0.000698324022346369","Module_5"
"APCDD1L","174","0.00337011519963421","612.594255992787","0.000688231245698555","Module_5"
"KCNMA1","172","0.00333331754031914","714.067215922569","0.000687285223367698","Module_5"
"H6PD","175","0.00302722116299903","280.616615636756","0.000673400673400673","Module_5"
"PHLDB1","184","0.00304283924772145","452.86815666422","0.000677506775067751","Module_5"
"CPA4","171","0.0033038931362939","562.2889891863","0.000686813186813187","Module_5"
"EPHB2","183","0.00303750749336354","420.27141868298","0.000677048070412999","Module_5"
"SIDT2","178","0.0030581687249657","325.166768931901","0.000681663258350375","Module_5"
"TNS1","174","0.0033574309866421","560.244763141693","0.000687757909215956","Module_5"
"SEMA7A","175","0.00300618462855184","278.677047027112","0.000672947510094213","Module_5"
"CD9","172","0.00299988149717845","237.423493982863","0.000668449197860963","Module_5"
"NPTX1","171","0.00337618315072263","523.592135602089","0.000686341798215511","Module_5"
"MYPN","169","0.00327480227472886","489.740890919687","0.000685400959561343","Module_5"
"MYADM","177","0.00303330589444574","311.299196499568","0.000670690811535882","Module_5"
"GALNT10","161","0.00291010804537548","151.307707756261","0.000656598818122127","Module_5"
"CCND1","170","0.00282618079209767","229.847363694507","0.000671591672263264","Module_5"
"SLC17A5","160","0.00322457053602087","364.087816214217","0.000681198910081744","Module_5"
"GM2A","164","0.0029315599165269","166.161692191094","0.000664893617021277","Module_5"
"CDCP1","160","0.00295051178458006","154.859665813366","0.000662690523525514","Module_5"
"BACE1","163","0.00322776110283688","562.290260887754","0.000682128240109141","Module_5"
"PLBD2","166","0.0029401974530741","189.834428464319","0.00066577896138482","Module_5"
"MGAT5","164","0.00324433651798125","397.007676572608","0.000683060109289617","Module_5"
"DHRS7","169","0.00292710178889826","219.893741635066","0.00066006600660066","Module_5"
"CXCL12","148","0.00277456472230143","95.4263857677174","0.000650195058517555","Module_5"
"TGM2","158","0.00277275954120252","173.583803840806","0.000662251655629139","Module_5"
"SLC16A4","159","0.00322366087214663","361.618367180204","0.00068073519400953","Module_5"
"KREMEN1","156","0.0028183320010798","131.075112135598","0.00065359477124183","Module_5"
"FBLN5","148","0.00412791790816464","1098.46732987934","0.000689655172413793","Module_5"
"FAM120B","153","0.00277115232641362","113.604129897671","0.000659630606860158","Module_5"
"LTBP2","139","0.00263783404551164","105.423646738578","0.000643915003219575","Module_5"
"MBTPS1","160","0.00319630025169412","363.968442802422","0.000681198910081744","Module_5"
"FOLR3","164","0.00267387743603867","119.734399657479","0.000624609618988132","Module_5"
"GALNT11","161","0.00320479203010794","368.529686012356","0.000681663258350375","Module_5"
"PTPRA","159","0.00288908859945552","148.433454446038","0.000662251655629139","Module_5"
"MEAK7","162","0.00264226941468311","133.150998912372","0.00065359477124183","Module_5"
"PSG4","143","0.00267893739582165","78.6692646534878","0.000645994832041344","Module_5"
"LBH","160","0.00288857670622645","159.563131421665","0.000656167979002625","Module_5"
"WNT5A","164","0.00519392131514597","1952.45726720555","0.000699300699300699","Module_5"
"RPS3AP6","53","0.0933348578053672","831.259044108008","0.000546448087431694","Module_6"
"RPS3AP26","53","0.0933348578053671","831.259044108008","0.000546448087431694","Module_6"
"RPS3AP5","46","0.0534880395046422","439.580383531948","0.000544365813826892","Module_6"
"RPS3A","67","0.174879058359896","2001.18615758034","0.000552791597567717","Module_6"
"RPL9","39","0.00999781286208466","0","0.000431965442764579","Module_6"
"RPS3AP21","53","0.0933348578053671","831.259044108008","0.000546448087431694","Module_6"
"RPL9P7","39","0.00999781286208468","0","0.000431965442764579","Module_6"
"RPL17P36","39","0.00999781286208472","0","0.000431965442764579","Module_6"
"RPS3AP20","46","0.0534880395046422","439.580383531948","0.000544365813826892","Module_6"
"RPL7P9","39","0.00999781286208462","0","0.000431965442764579","Module_6"
"RPL15","39","0.0099978128620847","0","0.000431965442764579","Module_6"
"RPL7P32","40","0.0161961166533679","52.5073082508911","0.000517866390471258","Module_6"
"RPS3AP25","55","0.0993562393944149","986.095792839791","0.000547045951859956","Module_6"
"RPL4P4","39","0.00999781286208468","0","0.000431965442764579","Module_6"
"RPS3AP47","74","0.220289561891445","2808.31838624288","0.000554938956714761","Module_6"
"RPL7","39","0.00999781286208468","0","0.000431965442764579","Module_6"
"RPL17P34","39","0.00999781286208468","0","0.000431965442764579","Module_6"
"RPL6","39","0.00999781286208478","0","0.000431965442764579","Module_6"
"RPL5","40","0.0161961166533679","52.5073082508911","0.000517866390471258","Module_6"
"RPL39","39","0.00999781286208472","0","0.000431965442764579","Module_6"
"RPL5P4","42","0.0286521826771606","157.200482999467","0.00051975051975052","Module_6"
"RPL7P26","39","0.0099978128620847","0","0.000431965442764579","Module_6"
"RPL4","39","0.00999781286208462","0","0.000431965442764579","Module_6"
"SNHG5","49","0.0685569948928714","613.328064542098","0.00054525627044711","Module_6"
"SF3B6","58","0.124776032722696","1236.99448574157","0.000549450549450549","Module_6"
"RPL7P1","39","0.00999781286208472","0","0.000431965442764579","Module_6"
"RPL7P15","39","0.00999781286208468","0","0.000431965442764579","Module_6"
"RPL5P34","40","0.0161961166533679","52.5073082508911","0.000517866390471258","Module_6"
"RPL7P6","39","0.00999781286208481","0","0.000431965442764579","Module_6"
"RPL7P24","40","0.0161961166533681","52.5073082508911","0.000517866390471258","Module_6"
"RPL39P3","39","0.00999781286208468","0","0.000431965442764579","Module_6"
"RPS20P14","39","0.00999781286208474","0","0.000431965442764579","Module_6"
"RPL6P27","39","0.00999781286208472","0","0.000431965442764579","Module_6"
"RPS23","39","0.00999781286208475","0","0.000431965442764579","Module_6"
"RPS25","39","0.00999781286208466","0","0.000431965442764579","Module_6"
"RPL17P43","39","0.00999781286208479","0","0.000431965442764579","Module_6"
"RPS7P11","39","0.00999781286208472","0","0.000431965442764579","Module_6"
"RPS3AP49","57","0.11451474914887","1138.16722477078","0.000547645125958379","Module_6"
"RPL24P7","39","0.00999781286208481","0","0.000431965442764579","Module_6"
"RPS4X","39","0.00999781286208474","0","0.000431965442764579","Module_6"
"ALYREF","109","0.518899506274847","310.656749879027","0.00065402223675605","Module_7"
"SMPD4","110","0.532968987564695","40.41350891991","0.000644329896907216","Module_7"
"TK1","93","0.445113256023052","24.6689792253973","0.000630517023959647","Module_7"
"MAD2L2","136","0.654179596468099","1723.02956879197","0.000692041522491349","Module_7"
"CHTF18","91","0.436521509433573","22.8985034110466","0.000629722921914358","Module_7"
"SAE1","97","0.428020185827233","936.565811708286","0.000640614990390775","Module_7"
"TOMM40","137","0.658834423381575","1754.08151466309","0.000692520775623269","Module_7"
"DTYMK","87","0.413316353945327","20.9405862682071","0.000616903146206046","Module_7"
"PPM1G","143","0.693351371420543","1943.0432320176","0.00070323488045007","Module_7"
"KHSRP","96","0.451064268947431","1046.55236174237","0.00066577896138482","Module_7"
"TRAF4","83","0.395153710546762","20.1455642513195","0.000615384615384615","Module_7"
"SLC25A29","82","0.38984996847262","19.7162079778808","0.000615006150061501","Module_7"
"DCAF15","128","0.611049067795351","1565.04130557333","0.000687285223367698","Module_7"
"HNRNPUL1","84","0.401604926048831","19.658527118136","0.00061576354679803","Module_7"
"UBN1","87","0.417912338603989","21.6416755854063","0.000628140703517588","Module_7"
"FBL","87","0.39819939862514","371.255490027932","0.000626174076393237","Module_7"
"HNRNPA1P63","103","0.515150504902576","9.55769308176419","0.000615384615384615","Module_7"
"TCF3","99","0.484444383905932","29.7317130915285","0.000639795265515035","Module_7"
"TOMM40P4","138","0.680786767822495","82.3370174079203","0.000667556742323097","Module_7"
"SAFB","140","0.687663516450714","928.699302300872","0.000700280112044818","Module_7"
"LRRC20","118","0.585835457639842","50.9832124599115","0.000657030223390276","Module_7"
"LMNB2","111","0.524947935226967","1263.87070883502","0.0006765899864682","Module_7"
"CPSF4","83","0.400580001728606","0.633829838886431","0.000586510263929619","Module_7"
"TOMM40P1","130","0.636961709019572","67.8340066388518","0.00065359477124183","Module_7"
"RNPS1P1","103","0.505865733481872","33.8343409463262","0.00064143681847338","Module_7"
"POP7","97","0.473156188214418","27.8336843035273","0.00063653723742839","Module_7"
"SGTA","88","0.413347580175517","951.33107593834","0.000655307994757536","Module_7"
"RBM19","80","0.3853826568205","0.1652285580864","0.000572737686139748","Module_7"
"SAFB2","102","0.484800447517549","1127.25259403134","0.000672494956287828","Module_7"
"EZR","100","0.489913246737386","31.0200503769824","0.000640204865556978","Module_7"
"TOMM34","84","0.405857595681229","0.756793156245851","0.000586854460093897","Module_7"
"H1-10","79","0.380867675486106","0.140503283361125","0.000572409845449342","Module_7"
"SNHG7","81","0.39068639889464","0.258304635846448","0.000573065902578797","Module_7"
"ITPKA","118","0.589834943428154","52.0925166383768","0.000657030223390276","Module_7"
"CNIH2","98","0.481926457402415","29.9442283375834","0.000639386189258312","Module_7"
"CDKN2D","80","0.3853826568205","0.1652285580864","0.000572737686139748","Module_7"
"LAS1L","80","0.3853826568205","0.1652285580864","0.000572737686139748","Module_7"
"RANP1","89","0.42828052236527","22.3917733633313","0.000628930817610063","Module_7"
"ARRB2","91","0.452479641373285","3.16505613394719","0.000602046959662854","Module_7"
"TRAF2","128","0.630616967993494","66.3394431749258","0.000652741514360313","Module_7"
"USP12","157","0.779199484636757","610.179078414839","0.000744601638123604","Module_8"
"PAK2","153","0.771924148672883","462.44983085014","0.000736919675755343","Module_8"
"RPRD1A","151","0.767593501664163","372.251344584032","0.000729394602479942","Module_8"
"ATP11C","153","0.770769817915377","441.431938764867","0.000730460189919649","Module_8"
"UBA6","162","0.783060715246317","1001.41235705633","0.00074794315632012","Module_8"
"PANK3","144","0.676831630827897","1347.28675633916","0.000752445447705041","Module_8"
"ARPP19","134","0.601615973033275","704.480739587371","0.000748502994011976","Module_8"
"SMARCAD1","150","0.741231282181981","503.419056691152","0.000732064421669107","Module_8"
"TNPO1","151","0.764969995315483","424.675406629493","0.000735835172921266","Module_8"
"MAPK6","140","0.651498938757409","382.302215606822","0.00072992700729927","Module_8"
"USP15","143","0.692462343933201","414.106563435442","0.000733675715333822","Module_8"
"PAPOLA","143","0.721655150026165","296.733075979756","0.000722021660649819","Module_8"
"MYSM1","143","0.744764784233372","165.652839347642","0.000699790062981106","Module_8"
"MARCHF7","141","0.674634673089536","368.931965058818","0.000725163161711385","Module_8"
"PPP4R2","149","0.734406719993715","487.752142441303","0.000736919675755343","Module_8"
"TAB2","145","0.746519654479875","270.050772718396","0.000710732054015636","Module_8"
"ZNF518B","138","0.633065795324501","390.756354998147","0.00072992700729927","Module_8"
"RP2","145","0.746519654479875","270.050772718396","0.000710732054015636","Module_8"
"DNM1L","125","0.542984922550728","365.91300655494","0.000742942050520059","Module_8"
"STAG2","137","0.704132204901202","164.385868111948","0.00070871722182849","Module_8"
"KIF5B","150","0.75747075038271","332.217102226917","0.000713266761768902","Module_8"
"MOB1A","141","0.718300989076722","245.122893042505","0.000703729767769177","Module_8"
"QKI","148","0.756993220595512","809.599724485356","0.000718390804597701","Module_8"
"ITGA4","146","0.740522927417247","279.340823078712","0.000713775874375446","Module_8"
"LYPLA1","147","0.733052417416381","419.931252679929","0.000735835172921266","Module_8"
"PGAP1","147","0.736955048960407","373.343667185055","0.000724112961622013","Module_8"
"PPP6R3","145","0.758448912687386","170.133742626091","0.000700770847932726","Module_8"
"PTPN4","143","0.744764784233372","165.652839347642","0.000699790062981106","Module_8"
"MORC3","144","0.724343523970944","262.077050265785","0.000712250712250712","Module_8"
"UBQLN1","121","0.522362448770798","221.470681804286","0.000721500721500722","Module_8"
"FAM91A1","129","0.580526950297144","428.313080651725","0.000739644970414201","Module_8"
"AHR","135","0.707017696273971","113.326282789722","0.000689655172413793","Module_8"
"SPRED1","132","0.597726704315572","848.781220575323","0.000742390497401633","Module_8"
"PCNX4","130","0.646178614655251","123.815275751784","0.000702740688685875","Module_8"
"AIDAP1","125","0.604239973405507","93.3785599595755","0.000700280112044818","Module_8"
"TTLL7","137","0.736447150280468","100.218963362897","0.000696864111498258","Module_8"
"SOAT1","141","0.785723852350324","36.562044095406","0.00067842605156038","Module_8"
"BCLAF1P2","139","0.698248397463691","215.511322512565","0.0007097232079489","Module_8"
"CGGBP1","143","0.716814309823608","285.724686416026","0.000711743772241993","Module_8"
"SSX2IP","141","0.785401853406771","33.6916641625566","0.000677966101694915","Module_8"
"FANCA","156","0.807797342874606","64.6957674140981","0.00066006600660066","Module_9"
"HAS3","141","0.765190610087859","32.0003364570215","0.00065359477124183","Module_9"
"POLE","155","0.803814799457392","168.773311393918","0.000689655172413793","Module_9"
"SMC1A","149","0.810692186619067","50.2545899880577","0.000658761528326746","Module_9"
"SLC1A4","136","0.749282698338891","24.6378496952565","0.000651465798045603","Module_9"
"SLC29A1","150","0.790072209524522","156.21234461529","0.000687285223367698","Module_9"
"NUP188","133","0.739586127624828","20.0647612789757","0.000650195058517555","Module_9"
"LZTS1","149","0.789075338700593","46.972638522072","0.000657030223390276","Module_9"
"RNF227","137","0.75606514508104","27.4272264852394","0.000652315720808871","Module_9"
"PTBP1","138","0.70732347017628","1111.76291307738","0.000708215297450425","Module_9"
"TCF19","132","0.736086821680716","18.9054090117006","0.000649772579597141","Module_9"
"TFDP1","140","0.776485211254897","33.6197211294535","0.000654878847413229","Module_9"
"MYO19","139","0.759167077030941","28.543948013193","0.000652741514360313","Module_9"
"TMEM201","126","0.708724537838514","13.9954131581563","0.000647249190938511","Module_9"
"MICAL3","140","0.764260349536344","24.074864039446","0.000653167864141084","Module_9"
"AKAP1","127","0.716727054746367","14.2084005901733","0.000647668393782383","Module_9"
"SCAF4","134","0.744170664127186","16.9363874705949","0.000650618087182824","Module_9"
"CDCA4","126","0.710465152508328","14.1914289491403","0.000647249190938511","Module_9"
"ICMT","125","0.708962984942315","13.8273170293968","0.000647249190938511","Module_9"
"CDT1","127","0.662637519813543","71.9210800234479","0.000664893617021277","Module_9"
"NAA40","135","0.746375373218942","22.4864716623648","0.000651041666666667","Module_9"
"NPHP4","110","0.608257324235051","5.66295042592699","0.000627352572145546","Module_9"
"SAP130","133","0.739120387961414","20.5840661303683","0.000650195058517555","Module_9"
"GEMIN4","125","0.706453197432197","13.2039719441758","0.000646830530401035","Module_9"
"TMEM109","125","0.682318670997248","14.9795419523136","0.000640204865556978","Module_9"
"TONSL","99","0.524372077120751","43.1676944538826","0.000638977635782748","Module_9"
"PASK","118","0.676222816403221","8.88916742388365","0.000642260757867694","Module_9"
"TLN2","127","0.705132515750648","15.3470301442507","0.000647668393782383","Module_9"
"FHOD3","119","0.679091819938987","9.69237631184706","0.0006426735218509","Module_9"
"CAD","121","0.684101148675129","11.9847406773722","0.000643500643500643","Module_9"
"GPRIN1","128","0.715630773958811","16.2583607089679","0.000648088139987038","Module_9"
"NUP214","123","0.69815925032141","12.3273522882793","0.000645994832041344","Module_9"
"MCM2","125","0.706116512457691","13.7480205866425","0.000646830530401035","Module_9"
"UTP4","125","0.706574833989186","13.5831460899391","0.000646830530401035","Module_9"
