"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MAP3K2",-2.2415476841,6.84948218024468,-25.8630796840362,9.69694319722279e-45,1.09337097513714e-42,91.5808330432847
"FOXM1",3.4598459644125,6.23704039204255,25.8248015422996,1.09678331796934e-44,1.2297987614764e-42,91.4576903172107
"NDRG2",-3.92202970762604,7.70959464604255,-25.7968749379681,1.19999755753072e-44,1.33809672395815e-42,91.3677606534335
"SEC61A1",-2.164733464,7.69924919587234,-25.7663617768162,1.32401838185484e-44,1.46827818686682e-42,91.2694163781643
"CILP",-4.19243054925833,9.2486117523617,-25.7178127097594,1.54858013222508e-44,1.70792310430048e-42,91.1127581680167
"FAM184A",2.85256763867188,6.00587233206383,25.6685952922076,1.81555205911668e-44,1.99148300049739e-42,90.9537122201322
"MLANA",-3.61313963377291,7.34943885855319,-25.6443783842098,1.96350892303293e-44,2.1421351672202e-42,90.8753697826005
"VIT",-2.81373054489479,6.57432639325532,-25.601079595938,2.25905502302494e-44,2.45131760912432e-42,90.7351559753014
"DPYSL5",3.537741280675,5.99062325379787,25.5731494824959,2.47313470672652e-44,2.66926619175729e-42,90.6446142879238
"CELSR3",3.12180290219271,6.52791448630851,25.5701876848997,2.49700481452433e-44,2.6806940516779e-42,90.6350085397417
"UCP2",2.88927940955208,10.1107241766383,25.5204847000371,2.93412562876083e-44,3.13330463308358e-42,90.4736844060102
"SLURP1",-4.8872804314625,9.32667401609574,-25.488817753808,3.25213426378883e-44,3.45462241295e-42,90.3707761707261
"AP3D1",2.00846809607813,8.54009604811702,25.4706124612895,3.45047889295783e-44,3.64612646578889e-42,90.3115702938412
"SLC25A43",-3.36231306311979,7.03973231028723,-25.4670002822777,3.49126170840679e-44,3.67000703441532e-42,90.2998192119802
"PROS1",-3.45578924826354,8.86442225958511,-25.4154480462439,4.12924625913122e-44,4.31816462425105e-42,90.131972097944
"LY6G6C",-4.01587899365,8.9702916676383,-25.3686653383758,4.80962596878814e-44,5.00374643959026e-42,89.979429991179
"FNDC5",3.25915651860312,7.14019368202128,25.3662817295503,4.84717546324443e-44,5.01695089100832e-42,89.9716521603474
"PDGFRL",-4.11348732667604,7.66949661535106,-25.3486601315513,5.13410664076537e-44,5.2868201189065e-42,89.9141348317406
"PTPN21",-2.27244785054584,6.14869661730851,-25.3365181998732,5.34172969288246e-44,5.47269697418512e-42,89.87448562524
"RNF227",-2.3728894854375,9.05111767651064,-25.2435748679474,7.23898734838616e-44,7.37901422487262e-42,89.570503549345
"PRELP",-3.27255093784896,7.9691105986383,-25.2396358780934,7.33296925725734e-44,7.43725218689573e-42,89.5576019255931
"COL9A2",3.74898086301979,7.08287547920213,25.2266380213372,7.65191402262562e-44,7.72192903593264e-42,89.5150184173642
"PTPN11",-1.77070150780625,7.83834873441489,-25.2240066284355,7.71816849776568e-44,7.75003954181118e-42,89.5063954435097
"GJB3",-3.41962115467395,8.69625480252128,-25.1995679934487,8.36183407018296e-44,8.35479688309419e-42,89.4262784815105
"PASK",2.97278572168021,6.12956337748936,25.1916035793049,8.58309552363813e-44,8.53362645091568e-42,89.4001561317657
"TCEAL2",4.55429460639687,7.08382807234043,25.0980676567423,1.16694777048283e-43,1.15453464959093e-41,89.0929018365398
"EPHX2",-2.99760216916875,7.23441912211702,-25.0553671755343,1.34300138148206e-43,1.32223399426597e-41,88.9523488813053
"RALB",-2.01927368246354,6.89702665870213,-25.0499018409611,1.36739112955346e-43,1.33348092010039e-41,88.9343461655807
"CREB1",-1.95679036268854,7.0637990238617,-25.0498468354644,1.36763885676451e-43,1.33348092010039e-41,88.9341649634224
"SOSTDC1",-3.88518098924063,7.81654725159575,-25.0155240829615,1.53139561194854e-43,1.48196754345509e-41,88.8210386399782
"KCNH6",4.52016459200521,6.19743524568085,25.0148871950475,1.53461436150282e-43,1.48196754345509e-41,88.8189383819411
"SLMAP",-2.31647694960521,6.88463419454255,-25.0075394750994,1.57224617764717e-43,1.51107831445014e-41,88.7947049818936
"WDR1",-2.52044114026562,6.68859770967021,-25.0036641964565,1.5924673150809e-43,1.52325913840179e-41,88.7819218303747
"TPSAB1",-5.2222427822125,8.85540085344681,-24.9239703396967,2.0717880972974e-43,1.97240090413931e-41,88.5187098887512
"NBR1",-1.82645692444375,8.00610445744681,-24.9196401469574,2.10165885258517e-43,1.99144509961157e-41,88.5043900970094
"MPZL1",-1.82472119940729,6.51234506204255,-24.9108457960825,2.16366882149856e-43,2.04062279552829e-41,88.4753017508827
"TMEM121B",2.2749689084875,5.7351142387766,24.8802952738383,2.39379245080552e-43,2.24715874579571e-41,88.3741924629195
"PSAT1",-2.33333995935833,7.89307584837234,-24.8768725947238,2.42106670271718e-43,2.26224024356207e-41,88.3628590509237
"ASRGL1",3.76199895088958,6.86102757139362,24.7788971682236,3.35014042157681e-43,3.11593936076888e-41,88.037940065386
"ENO2",3.85110437691771,7.74978441348936,24.7704781331613,3.44511028794615e-43,3.18957160282647e-41,88.0099749639492
"CCN3",-3.53031942200729,7.65723404876596,-24.7636759188543,3.52382258065898e-43,3.24754845412969e-41,87.9873751918362
"JAG1",-2.93715042764167,7.38325185552128,-24.7275101626931,3.97383268287575e-43,3.64563022902188e-41,87.8671396841564
